@RELATION 1

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 REAL
@ATTRIBUTE attribute_28 REAL
@ATTRIBUTE attribute_29 REAL
@ATTRIBUTE attribute_30 REAL
@ATTRIBUTE attribute_31 REAL
@ATTRIBUTE attribute_32 REAL
@ATTRIBUTE attribute_33 REAL
@ATTRIBUTE attribute_34 REAL
@ATTRIBUTE attribute_35 REAL
@ATTRIBUTE attribute_36 REAL
@ATTRIBUTE attribute_37 REAL
@ATTRIBUTE attribute_38 REAL
@ATTRIBUTE attribute_39 REAL
@ATTRIBUTE attribute_40 REAL
@ATTRIBUTE attribute_41 REAL
@ATTRIBUTE attribute_42 REAL
@ATTRIBUTE attribute_43 REAL
@ATTRIBUTE attribute_44 REAL
@ATTRIBUTE attribute_45 REAL
@ATTRIBUTE attribute_46 REAL
@ATTRIBUTE attribute_47 REAL
@ATTRIBUTE attribute_48 REAL
@ATTRIBUTE attribute_49 REAL
@ATTRIBUTE attribute_50 REAL
@ATTRIBUTE attribute_51 REAL
@ATTRIBUTE attribute_52 REAL
@ATTRIBUTE attribute_53 REAL
@ATTRIBUTE attribute_54 REAL
@ATTRIBUTE attribute_55 REAL
@ATTRIBUTE attribute_56 REAL
@ATTRIBUTE attribute_57 REAL
@ATTRIBUTE attribute_58 REAL
@ATTRIBUTE attribute_59 REAL
@ATTRIBUTE attribute_60 REAL
@ATTRIBUTE attribute_61 REAL
@ATTRIBUTE attribute_62 REAL
@ATTRIBUTE attribute_63 REAL
@ATTRIBUTE attribute_64 REAL
@ATTRIBUTE attribute_65 REAL
@ATTRIBUTE attribute_66 REAL
@ATTRIBUTE attribute_67 REAL
@ATTRIBUTE attribute_68 REAL
@ATTRIBUTE attribute_69 REAL
@ATTRIBUTE attribute_70 REAL
@ATTRIBUTE attribute_71 REAL
@ATTRIBUTE attribute_72 REAL
@ATTRIBUTE attribute_73 REAL
@ATTRIBUTE attribute_74 REAL
@ATTRIBUTE attribute_75 REAL
@ATTRIBUTE attribute_76 REAL
@ATTRIBUTE attribute_77 REAL
@ATTRIBUTE attribute_78 REAL
@ATTRIBUTE attribute_79 REAL
@ATTRIBUTE attribute_80 REAL
@ATTRIBUTE attribute_81 REAL
@ATTRIBUTE attribute_82 REAL
@ATTRIBUTE attribute_83 REAL
@ATTRIBUTE attribute_84 REAL
@ATTRIBUTE attribute_85 REAL
@ATTRIBUTE attribute_86 REAL
@ATTRIBUTE attribute_87 REAL
@ATTRIBUTE attribute_88 REAL
@ATTRIBUTE attribute_89 REAL
@ATTRIBUTE attribute_90 REAL
@ATTRIBUTE attribute_91 REAL
@ATTRIBUTE attribute_92 REAL
@ATTRIBUTE attribute_93 REAL
@ATTRIBUTE attribute_94 REAL
@ATTRIBUTE attribute_95 REAL
@ATTRIBUTE attribute_96 REAL
@ATTRIBUTE attribute_97 REAL
@ATTRIBUTE attribute_98 REAL
@ATTRIBUTE attribute_99 REAL
@ATTRIBUTE attribute_100 REAL
@ATTRIBUTE attribute_101 REAL
@ATTRIBUTE attribute_102 REAL
@ATTRIBUTE attribute_103 REAL
@ATTRIBUTE attribute_104 REAL
@ATTRIBUTE attribute_105 REAL
@ATTRIBUTE attribute_106 REAL
@ATTRIBUTE attribute_107 REAL
@ATTRIBUTE attribute_108 REAL
@ATTRIBUTE attribute_109 REAL
@ATTRIBUTE attribute_110 REAL
@ATTRIBUTE attribute_111 REAL
@ATTRIBUTE attribute_112 REAL
@ATTRIBUTE attribute_113 REAL
@ATTRIBUTE attribute_114 REAL
@ATTRIBUTE attribute_115 REAL
@ATTRIBUTE attribute_116 REAL
@ATTRIBUTE attribute_117 REAL
@ATTRIBUTE attribute_118 REAL
@ATTRIBUTE attribute_119 REAL
@ATTRIBUTE attribute_120 REAL
@ATTRIBUTE attribute_121 REAL
@ATTRIBUTE attribute_122 REAL
@ATTRIBUTE attribute_123 REAL
@ATTRIBUTE attribute_124 REAL
@ATTRIBUTE attribute_125 REAL
@ATTRIBUTE attribute_126 REAL
@ATTRIBUTE attribute_127 REAL
@ATTRIBUTE attribute_128 REAL
@ATTRIBUTE attribute_129 REAL
@ATTRIBUTE attribute_130 REAL
@ATTRIBUTE attribute_131 REAL
@ATTRIBUTE attribute_132 REAL
@ATTRIBUTE attribute_133 REAL
@ATTRIBUTE attribute_134 REAL
@ATTRIBUTE attribute_135 REAL
@ATTRIBUTE attribute_136 REAL
@ATTRIBUTE attribute_137 REAL
@ATTRIBUTE attribute_138 REAL
@ATTRIBUTE attribute_139 REAL
@ATTRIBUTE attribute_140 REAL
@ATTRIBUTE attribute_141 REAL
@ATTRIBUTE attribute_142 REAL
@ATTRIBUTE attribute_143 REAL
@ATTRIBUTE attribute_144 REAL
@ATTRIBUTE attribute_145 REAL
@ATTRIBUTE attribute_146 REAL
@ATTRIBUTE attribute_147 REAL
@ATTRIBUTE attribute_148 REAL
@ATTRIBUTE attribute_149 REAL
@ATTRIBUTE attribute_150 REAL
@ATTRIBUTE attribute_151 REAL
@ATTRIBUTE attribute_152 REAL
@ATTRIBUTE attribute_153 REAL
@ATTRIBUTE attribute_154 REAL
@ATTRIBUTE attribute_155 REAL
@ATTRIBUTE attribute_156 REAL
@ATTRIBUTE attribute_157 REAL
@ATTRIBUTE attribute_158 REAL
@ATTRIBUTE attribute_159 REAL
@ATTRIBUTE attribute_160 REAL
@ATTRIBUTE attribute_161 REAL
@ATTRIBUTE attribute_162 REAL
@ATTRIBUTE attribute_163 REAL
@ATTRIBUTE attribute_164 REAL
@ATTRIBUTE attribute_165 REAL
@ATTRIBUTE attribute_166 REAL
@ATTRIBUTE attribute_167 REAL
@ATTRIBUTE attribute_168 REAL
@ATTRIBUTE attribute_169 REAL
@ATTRIBUTE attribute_170 REAL
@ATTRIBUTE attribute_171 REAL
@ATTRIBUTE attribute_172 REAL
@ATTRIBUTE attribute_173 REAL
@ATTRIBUTE attribute_174 REAL
@ATTRIBUTE attribute_175 REAL
@ATTRIBUTE attribute_176 REAL
@ATTRIBUTE attribute_177 REAL
@ATTRIBUTE attribute_178 REAL
@ATTRIBUTE attribute_179 REAL
@ATTRIBUTE attribute_180 REAL
@ATTRIBUTE attribute_181 REAL
@ATTRIBUTE attribute_182 REAL
@ATTRIBUTE attribute_183 REAL
@ATTRIBUTE attribute_184 REAL
@ATTRIBUTE attribute_185 REAL
@ATTRIBUTE attribute_186 REAL
@ATTRIBUTE attribute_187 REAL
@ATTRIBUTE attribute_188 REAL
@ATTRIBUTE attribute_189 REAL
@ATTRIBUTE attribute_190 REAL
@ATTRIBUTE attribute_191 REAL
@ATTRIBUTE attribute_192 REAL
@ATTRIBUTE attribute_193 REAL
@ATTRIBUTE attribute_194 REAL
@ATTRIBUTE attribute_195 REAL
@ATTRIBUTE attribute_196 REAL
@ATTRIBUTE attribute_197 REAL
@ATTRIBUTE attribute_198 REAL
@ATTRIBUTE attribute_199 REAL
@ATTRIBUTE attribute_200 REAL
@ATTRIBUTE attribute_201 REAL
@ATTRIBUTE attribute_202 REAL
@ATTRIBUTE attribute_203 REAL
@ATTRIBUTE attribute_204 REAL
@ATTRIBUTE attribute_205 REAL
@ATTRIBUTE attribute_206 REAL
@ATTRIBUTE attribute_207 REAL
@ATTRIBUTE attribute_208 REAL
@ATTRIBUTE attribute_209 REAL
@ATTRIBUTE attribute_210 REAL
@ATTRIBUTE attribute_211 REAL
@ATTRIBUTE attribute_212 REAL
@ATTRIBUTE attribute_213 REAL
@ATTRIBUTE attribute_214 REAL
@ATTRIBUTE attribute_215 REAL
@ATTRIBUTE attribute_216 REAL
@ATTRIBUTE attribute_217 REAL
@ATTRIBUTE attribute_218 REAL
@ATTRIBUTE attribute_219 REAL
@ATTRIBUTE attribute_220 REAL
@ATTRIBUTE attribute_221 REAL
@ATTRIBUTE attribute_222 REAL
@ATTRIBUTE attribute_223 REAL
@ATTRIBUTE attribute_224 REAL
@ATTRIBUTE attribute_225 REAL
@ATTRIBUTE attribute_226 REAL
@ATTRIBUTE attribute_227 REAL
@ATTRIBUTE attribute_228 REAL
@ATTRIBUTE attribute_229 REAL
@ATTRIBUTE attribute_230 REAL
@ATTRIBUTE attribute_231 REAL
@ATTRIBUTE attribute_232 REAL
@ATTRIBUTE attribute_233 REAL
@ATTRIBUTE attribute_234 REAL
@ATTRIBUTE attribute_235 REAL
@ATTRIBUTE attribute_236 REAL
@ATTRIBUTE attribute_237 REAL
@ATTRIBUTE attribute_238 REAL
@ATTRIBUTE attribute_239 REAL
@ATTRIBUTE attribute_240 REAL
@ATTRIBUTE attribute_241 REAL
@ATTRIBUTE attribute_242 REAL
@ATTRIBUTE attribute_243 REAL
@ATTRIBUTE attribute_244 REAL
@ATTRIBUTE attribute_245 REAL
@ATTRIBUTE attribute_246 REAL
@ATTRIBUTE attribute_247 REAL
@ATTRIBUTE attribute_248 REAL
@ATTRIBUTE attribute_249 REAL
@ATTRIBUTE attribute_250 REAL
@ATTRIBUTE attribute_251 REAL
@ATTRIBUTE attribute_252 REAL
@ATTRIBUTE attribute_253 REAL
@ATTRIBUTE attribute_254 REAL
@ATTRIBUTE attribute_255 REAL
@ATTRIBUTE attribute_256 REAL
@ATTRIBUTE attribute_257 REAL
@ATTRIBUTE attribute_258 REAL
@ATTRIBUTE attribute_259 REAL
@ATTRIBUTE attribute_260 REAL
@ATTRIBUTE attribute_261 REAL
@ATTRIBUTE attribute_262 REAL
@ATTRIBUTE attribute_263 REAL
@ATTRIBUTE attribute_264 REAL
@ATTRIBUTE attribute_265 REAL
@ATTRIBUTE attribute_266 REAL
@ATTRIBUTE attribute_267 REAL
@ATTRIBUTE attribute_268 REAL
@ATTRIBUTE attribute_269 REAL
@ATTRIBUTE attribute_270 REAL
@ATTRIBUTE attribute_271 REAL
@ATTRIBUTE attribute_272 REAL
@ATTRIBUTE attribute_273 REAL
@ATTRIBUTE attribute_274 REAL
@ATTRIBUTE attribute_275 REAL
@ATTRIBUTE attribute_276 REAL
@ATTRIBUTE attribute_277 REAL
@ATTRIBUTE attribute_278 REAL
@ATTRIBUTE attribute_279 REAL
@ATTRIBUTE attribute_280 REAL
@ATTRIBUTE attribute_281 REAL
@ATTRIBUTE attribute_282 REAL
@ATTRIBUTE attribute_283 REAL
@ATTRIBUTE attribute_284 REAL
@ATTRIBUTE attribute_285 REAL
@ATTRIBUTE attribute_286 REAL
@ATTRIBUTE attribute_287 REAL
@ATTRIBUTE attribute_288 REAL
@ATTRIBUTE attribute_289 REAL
@ATTRIBUTE attribute_290 REAL
@ATTRIBUTE attribute_291 REAL
@ATTRIBUTE attribute_292 REAL
@ATTRIBUTE attribute_293 REAL
@ATTRIBUTE attribute_294 REAL
@ATTRIBUTE attribute_295 REAL
@ATTRIBUTE attribute_296 REAL
@ATTRIBUTE attribute_297 REAL
@ATTRIBUTE attribute_298 REAL
@ATTRIBUTE attribute_299 REAL

@DATA
723,743,739,734,736,735,735,736,727,723,725,724,720,721,721,720,718,716,714,713,712,712,712,712,714,716,718,719,719,714,711,709,709,710,711,712,711,711,713,713,713,714,713,713,714,714,713,712,712,711,712,712,711,711,712,713,714,713,713,713,714,714,714,714,714,712,711,711,712,711,712,711,713,717,716,717,716,712,714,713,716,723,731,732,733,734,732,732,733,733,732,733,732,724,715,718,720,721,720,717,715,725,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
762,765,653,604,616,614,614,618,620,619,624,627,622,622,626,624,622,620,619,618,618,618,618,618,616,616,618,618,615,621,620,610,615,613,609,615,615,618,620,618,620,623,621,621,621,622,630,630,627,625,628,625,625,628,625,625,628,621,620,624,624,622,627,629,629,627,625,627,629,629,624,619,622,624,622,619,621,624,621,615,609,610,608,610,612,617,617,616,615,615,618,619,618,617,613,609,610,616,617,617,602,642,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
738,653,466,409,422,418,417,427,433,433,441,443,435,432,445,441,436,431,423,423,426,426,428,429,423,423,426,426,419,424,430,422,426,433,426,420,420,433,432,425,429,431,430,430,416,408,444,453,447,450,454,455,455,456,452,443,447,438,431,444,441,432,447,453,446,449,451,453,452,452,450,448,445,441,436,432,441,453,447,426,407,409,406,408,418,432,432,432,430,430,431,427,425,426,419,408,402,404,416,417,396,458,653,759,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
735,592,398,346,353,348,348,359,367,368,375,380,371,367,374,375,374,374,371,368,364,362,364,362,359,359,362,362,353,353,365,363,360,363,363,353,354,368,365,357,359,360,354,355,357,342,383,392,402,398,387,390,392,392,398,394,388,382,372,380,371,368,381,386,388,391,388,398,396,396,389,386,385,381,378,376,377,385,383,374,362,342,333,341,351,363,375,374,366,369,376,373,367,361,360,356,348,340,343,342,330,385,583,756,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
736,606,420,368,375,370,372,375,379,383,386,392,392,386,383,386,386,392,398,395,386,383,383,380,377,377,377,376,368,365,378,383,380,377,383,371,371,377,374,379,383,389,377,367,386,365,401,407,419,410,395,404,404,401,410,416,404,401,392,392,383,386,392,395,407,407,398,410,410,413,401,395,398,401,401,395,389,389,392,401,398,369,351,363,369,375,393,390,378,384,392,397,386,377,380,383,377,362,358,359,347,390,593,756,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
735,605,420,374,384,382,380,378,379,386,386,383,392,392,392,386,380,380,389,389,389,389,386,383,380,377,374,370,365,368,377,383,386,386,389,374,374,380,380,388,392,398,392,377,380,365,389,407,410,404,398,413,413,401,410,410,401,401,392,395,386,389,395,398,407,407,401,407,407,404,401,401,401,404,401,395,392,392,395,395,395,378,363,372,372,378,393,390,378,381,388,391,386,380,383,383,371,360,368,380,354,396,596,756,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
737,608,415,366,384,385,381,375,376,386,389,380,383,389,389,380,377,377,383,386,386,386,386,383,380,374,371,365,372,381,380,377,374,374,377,368,374,383,389,384,386,386,383,386,371,368,374,407,410,410,401,410,410,404,413,410,404,401,392,395,389,389,392,401,404,401,404,407,407,398,407,410,404,401,398,395,395,392,392,392,395,384,374,375,375,375,390,387,377,379,388,394,392,389,389,386,374,366,379,385,360,406,599,756,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
737,606,406,356,375,379,379,378,378,383,386,380,377,377,377,374,380,383,380,383,380,380,380,380,377,374,371,371,378,383,383,374,359,362,368,365,371,377,380,384,389,386,389,380,356,356,365,407,410,410,404,404,404,401,410,413,407,401,395,395,389,389,389,401,404,395,401,413,404,404,413,416,407,401,395,395,395,395,395,398,401,390,380,381,378,375,384,387,381,379,382,391,389,386,386,383,371,368,362,355,343,394,594,756,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
737,604,406,352,366,370,381,384,384,383,383,383,380,374,374,371,386,392,389,392,383,383,383,380,380,380,380,380,373,371,386,383,362,374,374,374,365,377,380,384,383,380,386,386,362,362,371,407,401,401,398,404,404,392,401,407,404,398,395,389,389,386,386,395,401,395,398,413,401,407,410,407,407,404,398,398,401,401,401,401,404,396,387,384,381,381,387,390,390,387,382,391,389,386,383,380,374,371,362,362,361,409,601,756,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
737,604,410,355,366,370,381,384,384,383,380,389,386,386,383,371,386,392,392,401,389,386,386,383,383,380,383,384,374,370,389,389,371,386,380,377,368,368,380,382,394,395,392,401,371,371,383,407,404,401,398,401,404,398,404,401,398,392,395,389,392,389,386,392,401,398,395,410,398,404,404,398,404,401,395,395,398,398,395,392,395,396,390,384,381,381,387,387,390,390,388,394,392,389,389,386,377,377,373,370,367,415,606,758,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
